@relation Abalone
@attribute Sex nominal [1, 3]
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.0020, 2.8255]
@attribute Shucked_weight real [0.0010, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Class {1, -1}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Class
@data
F, 0.575, 0.435, 0.15, 1.0305, 0.4605, 0.218, 0.36, -1
F, 0.585, 0.445, 0.14, 0.913, 0.4305, 0.2205, 0.253, -1
I, 0.59, 0.45, 0.145, 1.022, 0.428, 0.268, 0.265, -1
F, 0.6, 0.46, 0.155, 0.9735, 0.427, 0.2045, 0.3, -1
F, 0.6, 0.475, 0.15, 1.13, 0.575, 0.196, 0.305, -1
M, 0.6, 0.48, 0.165, 0.9165, 0.4135, 0.1965, 0.2725, -1
M, 0.605, 0.475, 0.145, 0.884, 0.3835, 0.1905, 0.27, -1
F, 0.61, 0.475, 0.16, 1.1155, 0.3835, 0.223, 0.379, -1
I, 0.61, 0.465, 0.125, 0.9225, 0.436, 0.19, 0.26, -1
M, 0.61, 0.47, 0.17, 1.1185, 0.5225, 0.2405, 0.31, -1
M, 0.62, 0.515, 0.175, 1.221, 0.535, 0.241, 0.395, -1
I, 0.62, 0.45, 0.135, 0.924, 0.358, 0.2265, 0.2965, -1
M, 0.625, 0.49, 0.165, 1.1165, 0.4895, 0.2615, 0.3325, -1
M, 0.625, 0.475, 0.16, 1.0845, 0.5005, 0.2355, 0.3105, -1
M, 0.625, 0.5, 0.17, 1.0985, 0.4645, 0.22, 0.354, -1
F, 0.635, 0.49, 0.17, 1.2615, 0.5385, 0.2665, 0.38, -1
M, 0.645, 0.51, 0.195, 1.226, 0.5885, 0.2215, 0.3745, -1
F, 0.645, 0.48, 0.19, 1.371, 0.6925, 0.2905, 0.35, -1
F, 0.65, 0.495, 0.155, 1.337, 0.615, 0.3195, 0.335, -1
M, 0.66, 0.51, 0.165, 1.6375, 0.7685, 0.3545, 0.3925, -1
M, 0.665, 0.525, 0.175, 1.443, 0.6635, 0.3845, 0.353, -1
M, 0.665, 0.505, 0.16, 1.289, 0.6145, 0.253, 0.3665, -1
F, 0.665, 0.505, 0.16, 1.2915, 0.631, 0.2925, 0.32, -1
F, 0.675, 0.51, 0.195, 1.382, 0.6045, 0.3175, 0.3965, -1
M, 0.68, 0.52, 0.195, 1.4535, 0.592, 0.391, 0.4125, -1
F, 0.71, 0.57, 0.195, 1.9805, 0.9925, 0.4925, 0.48, -1
M, 0.72, 0.57, 0.2, 1.8275, 0.919, 0.366, 0.485, -1
M, 0.72, 0.55, 0.205, 2.125, 1.1455, 0.4425, 0.511, -1
M, 0.735, 0.59, 0.215, 1.747, 0.7275, 0.403, 0.557, -1
F, 0.74, 0.565, 0.205, 2.119, 0.9655, 0.5185, 0.482, -1
M, 0.75, 0.595, 0.205, 2.2205, 1.083, 0.421, 0.63, -1
I, 0.455, 0.325, 0.135, 0.82, 0.4005, 0.1715, 0.211, -1
I, 0.455, 0.345, 0.11, 0.434, 0.207, 0.0855, 0.1215, -1
I, 0.465, 0.325, 0.14, 0.7615, 0.362, 0.1535, 0.209, -1
I, 0.485, 0.345, 0.16, 0.869, 0.3085, 0.185, 0.319, -1
M, 0.515, 0.395, 0.135, 1.007, 0.472, 0.2495, 0.252, -1
I, 0.545, 0.42, 0.165, 0.8935, 0.4235, 0.2195, 0.228, -1
F, 0.545, 0.415, 0.2, 1.358, 0.567, 0.318, 0.403, -1
F, 0.55, 0.38, 0.165, 1.205, 0.543, 0.294, 0.3345, -1
M, 0.575, 0.44, 0.185, 1.025, 0.5075, 0.2245, 0.2485, -1
M, 0.585, 0.455, 0.145, 0.953, 0.3945, 0.2685, 0.258, -1
M, 0.625, 0.495, 0.175, 1.254, 0.5815, 0.286, 0.3185, -1
F, 0.635, 0.475, 0.15, 1.1845, 0.533, 0.307, 0.291, -1
F, 0.64, 0.475, 0.14, 1.0725, 0.4895, 0.2295, 0.31, -1
M, 0.65, 0.525, 0.19, 1.6125, 0.777, 0.3685, 0.3965, -1
F, 0.675, 0.53, 0.175, 1.4465, 0.6775, 0.33, 0.389, -1
F, 0.685, 0.535, 0.175, 1.5845, 0.7175, 0.3775, 0.4215, -1
M, 0.73, 0.575, 0.21, 2.069, 0.9285, 0.409, 0.643, -1
I, 0.185, 0.135, 0.04, 0.027, 0.0105, 0.0055, 0.0090, -1
I, 0.405, 0.3, 0.09, 0.269, 0.103, 0.067, 0.11, -1
I, 0.415, 0.31, 0.1, 0.2805, 0.114, 0.0565, 0.0975, -1
I, 0.42, 0.325, 0.1, 0.368, 0.1675, 0.0625, 0.1135, -1
I, 0.435, 0.345, 0.12, 0.3215, 0.13, 0.056, 0.1185, -1
I, 0.485, 0.36, 0.12, 0.5155, 0.2465, 0.1025, 0.147, -1
I, 0.52, 0.395, 0.125, 0.5805, 0.2445, 0.146, 0.165, -1
I, 0.53, 0.395, 0.13, 0.575, 0.247, 0.115, 0.183, -1
M, 0.555, 0.435, 0.14, 0.7495, 0.341, 0.1645, 0.214, -1
I, 0.56, 0.445, 0.165, 0.832, 0.3455, 0.179, 0.279, -1
M, 0.565, 0.455, 0.155, 0.9355, 0.421, 0.183, 0.26, -1
I, 0.565, 0.435, 0.145, 0.8445, 0.3975, 0.158, 0.255, -1
M, 0.565, 0.45, 0.16, 0.895, 0.415, 0.195, 0.246, -1
M, 0.57, 0.44, 0.175, 0.9415, 0.3805, 0.2285, 0.283, -1
M, 0.57, 0.415, 0.13, 0.88, 0.4275, 0.1955, 0.238, -1
M, 0.575, 0.45, 0.13, 0.785, 0.318, 0.193, 0.2265, -1
M, 0.575, 0.45, 0.155, 0.9765, 0.495, 0.2145, 0.235, -1
M, 0.575, 0.455, 0.155, 1.013, 0.4685, 0.2085, 0.295, -1
F, 0.575, 0.465, 0.175, 1.099, 0.4735, 0.202, 0.35, -1
M, 0.615, 0.47, 0.15, 1.0875, 0.4975, 0.283, 0.2685, -1
M, 0.625, 0.495, 0.155, 1.0485, 0.487, 0.212, 0.3215, -1
M, 0.625, 0.515, 0.17, 1.331, 0.5725, 0.3005, 0.361, -1
F, 0.625, 0.47, 0.145, 0.984, 0.475, 0.2, 0.265, -1
F, 0.635, 0.505, 0.155, 1.2895, 0.594, 0.314, 0.345, -1
M, 0.635, 0.5, 0.165, 1.273, 0.6535, 0.213, 0.365, -1
M, 0.645, 0.49, 0.175, 1.32, 0.6525, 0.2375, 0.3385, -1
M, 0.76, 0.605, 0.215, 2.173, 0.801, 0.4915, 0.646, -1
I, 0.285, 0.215, 0.06, 0.0935, 0.031, 0.023, 0.03, -1
I, 0.29, 0.21, 0.07, 0.1115, 0.048, 0.0205, 0.03, -1
I, 0.29, 0.21, 0.06, 0.1195, 0.056, 0.0235, 0.03, -1
I, 0.36, 0.27, 0.085, 0.196, 0.0905, 0.034, 0.053, -1
I, 0.375, 0.28, 0.08, 0.226, 0.105, 0.047, 0.065, -1
I, 0.395, 0.29, 0.095, 0.3, 0.158, 0.068, 0.078, -1
I, 0.415, 0.325, 0.11, 0.316, 0.1385, 0.0795, 0.0925, -1
M, 0.505, 0.39, 0.12, 0.653, 0.3315, 0.1385, 0.167, -1
M, 0.515, 0.4, 0.14, 0.6335, 0.288, 0.145, 0.168, -1
M, 0.525, 0.41, 0.13, 0.6875, 0.3435, 0.1495, 0.1765, -1
F, 0.53, 0.43, 0.15, 0.741, 0.325, 0.1855, 0.196, -1
F, 0.53, 0.405, 0.13, 0.6355, 0.2635, 0.1565, 0.185, -1
M, 0.565, 0.445, 0.145, 0.9255, 0.4345, 0.212, 0.2475, -1
F, 0.57, 0.435, 0.15, 0.8295, 0.3875, 0.156, 0.245, -1
I, 0.325, 0.24, 0.07, 0.152, 0.0565, 0.0305, 0.054, -1
I, 0.385, 0.28, 0.1, 0.2755, 0.1305, 0.061, 0.0725, -1
I, 0.415, 0.305, 0.12, 0.336, 0.165, 0.076, 0.0805, -1
I, 0.44, 0.305, 0.115, 0.379, 0.162, 0.091, 0.11, -1
I, 0.465, 0.355, 0.09, 0.4325, 0.2005, 0.074, 0.1275, -1
F, 0.475, 0.38, 0.14, 0.689, 0.3165, 0.1315, 0.1955, -1
I, 0.55, 0.42, 0.115, 0.668, 0.2925, 0.137, 0.209, -1
F, 0.565, 0.44, 0.135, 0.83, 0.393, 0.1735, 0.238, -1
F, 0.58, 0.435, 0.15, 0.839, 0.3485, 0.207, 0.192, -1
M, 0.645, 0.495, 0.15, 1.2095, 0.603, 0.2225, 0.339, -1
F, 0.505, 0.385, 0.115, 0.616, 0.243, 0.1075, 0.21, -1
M, 0.665, 0.535, 0.225, 2.1835, 0.7535, 0.391, 0.885, -1
I, 0.13, 0.095, 0.035, 0.0105, 0.0050, 0.0065, 0.0035, -1
I, 0.31, 0.225, 0.05, 0.1445, 0.0675, 0.0385, 0.045, -1
M, 0.425, 0.325, 0.1, 0.3295, 0.1365, 0.0725, 0.11, -1
I, 0.475, 0.36, 0.11, 0.4555, 0.177, 0.0965, 0.145, -1
F, 0.435, 0.35, 0.12, 0.4585, 0.192, 0.1, 0.13, -1
M, 0.595, 0.47, 0.15, 0.8915, 0.359, 0.2105, 0.245, -1
F, 0.52, 0.41, 0.125, 0.6985, 0.2945, 0.1625, 0.215, -1
M, 0.44, 0.35, 0.11, 0.4585, 0.2, 0.0885, 0.13, -1
M, 0.565, 0.425, 0.1, 0.7145, 0.3055, 0.166, 0.18, -1
I, 0.46, 0.35, 0.11, 0.3945, 0.1685, 0.0865, 0.125, -1
M, 0.455, 0.35, 0.105, 0.401, 0.1575, 0.083, 0.135, -1
M, 0.61, 0.5, 0.165, 1.2715, 0.4915, 0.185, 0.49, -1
M, 0.56, 0.42, 0.195, 0.8085, 0.3025, 0.1795, 0.285, -1
F, 0.61, 0.45, 0.16, 1.136, 0.414, 0.311, 0.3, -1
M, 0.335, 0.235, 0.085, 0.1545, 0.066, 0.0345, 0.045, -1
F, 0.57, 0.45, 0.17, 1.098, 0.414, 0.187, 0.405, -1
M, 0.645, 0.495, 0.185, 1.4935, 0.5265, 0.2785, 0.455, -1
I, 0.27, 0.19, 0.08, 0.081, 0.0265, 0.0195, 0.03, -1
I, 0.275, 0.22, 0.08, 0.1365, 0.0565, 0.0285, 0.042, -1
F, 0.29, 0.225, 0.075, 0.14, 0.0515, 0.0235, 0.04, -1
I, 0.33, 0.26, 0.08, 0.19, 0.0765, 0.0385, 0.065, -1
F, 0.515, 0.415, 0.13, 0.764, 0.276, 0.196, 0.25, -1
I, 0.355, 0.28, 0.11, 0.2235, 0.0815, 0.0525, 0.08, -1
I, 0.275, 0.2, 0.075, 0.086, 0.0305, 0.019, 0.03, -1
F, 0.505, 0.39, 0.175, 0.692, 0.267, 0.15, 0.215, -1
F, 0.505, 0.4, 0.165, 0.729, 0.2675, 0.155, 0.25, -1
F, 0.57, 0.45, 0.165, 0.903, 0.3305, 0.1845, 0.295, -1
F, 0.56, 0.435, 0.185, 1.106, 0.422, 0.2435, 0.33, -1
M, 0.585, 0.465, 0.19, 1.171, 0.3905, 0.2355, 0.4, -1
I, 0.46, 0.335, 0.11, 0.444, 0.225, 0.0745, 0.11, -1
F, 0.46, 0.36, 0.115, 0.4755, 0.2105, 0.105, 0.16, -1
F, 0.435, 0.32, 0.12, 0.3785, 0.152, 0.0915, 0.125, -1
F, 0.57, 0.46, 0.17, 1.1, 0.4125, 0.2205, 0.38, -1
M, 0.65, 0.495, 0.18, 1.793, 0.8005, 0.339, 0.53, -1
M, 0.51, 0.395, 0.145, 0.6185, 0.216, 0.1385, 0.24, -1
M, 0.52, 0.38, 0.135, 0.5825, 0.2505, 0.1565, 0.175, -1
M, 0.585, 0.43, 0.16, 0.955, 0.3625, 0.176, 0.27, -1
F, 0.58, 0.455, 0.16, 0.9215, 0.312, 0.196, 0.3, -1
M, 0.635, 0.51, 0.21, 1.598, 0.6535, 0.2835, 0.58, -1
M, 0.44, 0.375, 0.13, 0.487, 0.226, 0.0965, 0.155, -1
I, 0.435, 0.345, 0.12, 0.4475, 0.221, 0.112, 0.125, -1
I, 0.33, 0.265, 0.09, 0.18, 0.068, 0.036, 0.06, -1
M, 0.475, 0.36, 0.12, 0.578, 0.2825, 0.12, 0.17, -1
I, 0.495, 0.385, 0.125, 0.585, 0.2755, 0.1235, 0.165, -1
F, 0.52, 0.425, 0.15, 0.813, 0.385, 0.2015, 0.23, -1
F, 0.65, 0.5, 0.165, 1.1445, 0.485, 0.218, 0.365, -1
F, 0.435, 0.35, 0.11, 0.384, 0.143, 0.1005, 0.125, -1
F, 0.505, 0.385, 0.135, 0.6185, 0.251, 0.1175, 0.2, -1
F, 0.505, 0.395, 0.145, 0.6515, 0.2695, 0.153, 0.205, -1
F, 0.665, 0.535, 0.19, 1.496, 0.5775, 0.2815, 0.475, -1
M, 0.655, 0.485, 0.195, 1.62, 0.6275, 0.358, 0.485, -1
F, 0.59, 0.47, 0.17, 0.9, 0.355, 0.1905, 0.25, -1
M, 0.67, 0.55, 0.17, 1.247, 0.472, 0.2455, 0.4, -1
M, 0.59, 0.475, 0.16, 0.9455, 0.3815, 0.184, 0.27, 1
F, 0.72, 0.56, 0.175, 1.7265, 0.637, 0.3415, 0.525, -1
M, 0.55, 0.45, 0.155, 0.7895, 0.343, 0.159, 0.25, -1
M, 0.65, 0.545, 0.16, 1.2425, 0.487, 0.296, 0.48, -1
F, 0.5, 0.405, 0.15, 0.5965, 0.253, 0.126, 0.185, -1
F, 0.525, 0.39, 0.135, 0.6005, 0.2265, 0.131, 0.21, -1
M, 0.37, 0.29, 0.09, 0.241, 0.11, 0.045, 0.069, -1
I, 0.3, 0.22, 0.09, 0.1425, 0.057, 0.0335, 0.043, -1
M, 0.31, 0.235, 0.06, 0.12, 0.0415, 0.033, 0.04, -1
I, 0.565, 0.435, 0.155, 0.782, 0.2715, 0.168, 0.285, -1
M, 0.26, 0.19, 0.075, 0.0945, 0.0445, 0.02, 0.03, -1
I, 0.52, 0.38, 0.14, 0.525, 0.1775, 0.115, 0.185, -1
M, 0.5, 0.38, 0.135, 0.5835, 0.2295, 0.1265, 0.18, -1
I, 0.275, 0.205, 0.08, 0.096, 0.036, 0.0185, 0.03, -1
F, 0.42, 0.33, 0.125, 0.463, 0.186, 0.11, 0.145, -1
F, 0.585, 0.47, 0.17, 1.099, 0.3975, 0.2325, 0.358, -1
F, 0.52, 0.405, 0.14, 0.6915, 0.276, 0.137, 0.215, -1
M, 0.565, 0.44, 0.175, 1.122, 0.393, 0.2, 0.375, -1
F, 0.49, 0.4, 0.145, 0.6635, 0.21, 0.1295, 0.2515, -1
M, 0.44, 0.325, 0.115, 0.39, 0.163, 0.087, 0.113, -1
M, 0.505, 0.4, 0.155, 0.8415, 0.2715, 0.1775, 0.285, -1
I, 0.505, 0.39, 0.185, 0.6125, 0.267, 0.142, 0.172, -1
M, 0.54, 0.42, 0.12, 0.8115, 0.392, 0.1455, 0.2235, -1
F, 0.565, 0.44, 0.15, 0.983, 0.4475, 0.2355, 0.2485, -1
F, 0.6, 0.485, 0.165, 1.1405, 0.587, 0.2175, 0.288, -1
F, 0.7, 0.525, 0.19, 1.6015, 0.707, 0.365, 0.43, -1
I, 0.275, 0.195, 0.07, 0.0875, 0.0345, 0.022, 0.0255, -1
I, 0.46, 0.345, 0.115, 0.4215, 0.1895, 0.102, 0.111, -1
I, 0.465, 0.355, 0.11, 0.474, 0.23, 0.1005, 0.12, -1
I, 0.505, 0.385, 0.12, 0.6005, 0.239, 0.142, 0.185, -1
M, 0.525, 0.425, 0.125, 0.812, 0.4035, 0.1705, 0.195, -1
M, 0.54, 0.435, 0.14, 0.7345, 0.33, 0.1595, 0.213, -1
F, 0.595, 0.465, 0.15, 1.0255, 0.412, 0.2745, 0.289, -1
F, 0.6, 0.46, 0.15, 1.235, 0.6025, 0.274, 0.29, -1
F, 0.615, 0.485, 0.16, 1.1575, 0.5005, 0.2495, 0.315, -1
M, 0.63, 0.48, 0.165, 1.286, 0.604, 0.271, 0.35, -1
M, 0.645, 0.49, 0.16, 1.251, 0.5355, 0.3345, 0.3165, -1
M, 0.69, 0.54, 0.185, 1.71, 0.7725, 0.3855, 0.4325, -1
I, 0.475, 0.365, 0.1, 0.1315, 0.2025, 0.0875, 0.123, -1
I, 0.495, 0.38, 0.12, 0.512, 0.233, 0.1205, 0.136, -1
I, 0.515, 0.4, 0.125, 0.5925, 0.265, 0.1175, 0.168, -1
M, 0.545, 0.42, 0.12, 0.7865, 0.403, 0.185, 0.17, -1
F, 0.57, 0.45, 0.18, 0.908, 0.4015, 0.217, 0.255, -1
F, 0.585, 0.435, 0.14, 0.6955, 0.3085, 0.129, 0.2245, -1
M, 0.59, 0.47, 0.15, 0.861, 0.413, 0.164, 0.249, -1
F, 0.595, 0.465, 0.15, 1.1005, 0.5415, 0.166, 0.265, -1
M, 0.595, 0.46, 0.14, 0.852, 0.4215, 0.2255, 0.227, -1
F, 0.615, 0.475, 0.17, 1.055, 0.543, 0.246, 0.2345, -1
M, 0.63, 0.505, 0.15, 1.3165, 0.6325, 0.2465, 0.37, -1
M, 0.63, 0.51, 0.175, 1.3415, 0.6575, 0.262, 0.375, -1
M, 0.65, 0.515, 0.125, 1.1805, 0.5235, 0.283, 0.3275, -1
M, 0.65, 0.51, 0.155, 1.407, 0.7215, 0.298, 0.335, -1
M, 0.66, 0.515, 0.165, 1.4465, 0.694, 0.298, 0.3755, -1
F, 0.665, 0.505, 0.165, 1.349, 0.5985, 0.3175, 0.36, -1
M, 0.7, 0.525, 0.175, 1.7585, 0.8745, 0.3615, 0.47, -1
I, 0.29, 0.215, 0.065, 0.0985, 0.0425, 0.021, 0.031, -1
I, 0.335, 0.25, 0.08, 0.167, 0.0675, 0.0325, 0.0575, -1
I, 0.375, 0.275, 0.095, 0.2295, 0.095, 0.0545, 0.066, -1
I, 0.385, 0.285, 0.085, 0.244, 0.1215, 0.0445, 0.068, -1
I, 0.405, 0.305, 0.1, 0.268, 0.1145, 0.053, 0.085, -1
I, 0.415, 0.335, 0.1, 0.358, 0.169, 0.067, 0.105, -1
I, 0.46, 0.345, 0.105, 0.415, 0.187, 0.087, 0.11, -1
I, 0.505, 0.38, 0.135, 0.5385, 0.2645, 0.095, 0.165, -1
I, 0.51, 0.385, 0.145, 0.7665, 0.3985, 0.14, 0.1805, -1
I, 0.525, 0.385, 0.13, 0.607, 0.2355, 0.125, 0.195, -1
F, 0.525, 0.415, 0.15, 0.7055, 0.329, 0.147, 0.199, -1
I, 0.525, 0.375, 0.12, 0.6315, 0.3045, 0.114, 0.19, -1
I, 0.55, 0.43, 0.145, 0.712, 0.3025, 0.152, 0.225, -1
I, 0.55, 0.42, 0.155, 0.912, 0.495, 0.1805, 0.205, -1
F, 0.58, 0.425, 0.15, 0.844, 0.3645, 0.185, 0.2705, -1
I, 0.585, 0.42, 0.145, 0.6735, 0.2895, 0.1345, 0.22, -1
M, 0.6, 0.48, 0.09, 1.05, 0.457, 0.2685, 0.28, -1
M, 0.63, 0.505, 0.175, 1.221, 0.555, 0.252, 0.34, -1
M, 0.63, 0.525, 0.195, 1.3135, 0.4935, 0.2565, 0.465, -1
M, 0.64, 0.515, 0.08, 1.042, 0.515, 0.1755, 0.175, -1
M, 0.7, 0.54, 0.205, 1.74, 0.7885, 0.373, 0.4865, -1
I, 0.52, 0.395, 0.145, 0.77, 0.424, 0.142, 0.1895, -1
F, 0.54, 0.42, 0.14, 0.8035, 0.38, 0.1805, 0.21, -1
M, 0.57, 0.42, 0.14, 0.8745, 0.416, 0.165, 0.25, -1
F, 0.58, 0.445, 0.135, 0.95, 0.484, 0.182, 0.2325, -1
M, 0.59, 0.47, 0.155, 1.1735, 0.6245, 0.233, 0.2595, -1
F, 0.62, 0.48, 0.17, 1.1045, 0.535, 0.25, 0.287, -1
F, 0.625, 0.485, 0.16, 1.254, 0.591, 0.259, 0.3485, -1
M, 0.63, 0.485, 0.16, 1.243, 0.623, 0.275, 0.3, -1
F, 0.645, 0.49, 0.16, 1.1665, 0.4935, 0.3155, 0.299, -1
M, 0.665, 0.515, 0.19, 1.6385, 0.831, 0.3575, 0.371, -1
F, 0.72, 0.55, 0.18, 1.52, 0.637, 0.325, 0.435, -1
M, 0.74, 0.595, 0.19, 2.3235, 1.1495, 0.5115, 0.505, -1
I, 0.31, 0.23, 0.07, 0.1245, 0.0505, 0.0265, 0.038, -1
I, 0.335, 0.26, 0.09, 0.1965, 0.0875, 0.041, 0.056, -1
I, 0.4, 0.315, 0.09, 0.3245, 0.151, 0.073, 0.088, -1
I, 0.51, 0.4, 0.145, 0.5775, 0.231, 0.143, 0.177, -1
F, 0.535, 0.445, 0.125, 0.8725, 0.417, 0.199, 0.24, -1
I, 0.545, 0.43, 0.15, 0.742, 0.3525, 0.158, 0.208, -1
I, 0.55, 0.425, 0.13, 0.664, 0.2695, 0.163, 0.21, -1
I, 0.575, 0.455, 0.16, 0.9895, 0.495, 0.195, 0.246, -1
F, 0.58, 0.45, 0.17, 0.9705, 0.4615, 0.232, 0.248, -1
I, 0.6, 0.445, 0.135, 0.9205, 0.445, 0.2035, 0.253, -1
I, 0.61, 0.425, 0.155, 1.0485, 0.507, 0.1955, 0.274, -1
M, 0.61, 0.48, 0.14, 1.0625, 0.516, 0.225, 0.2915, -1
F, 0.615, 0.475, 0.175, 1.194, 0.559, 0.259, 0.3165, -1
F, 0.625, 0.49, 0.145, 0.92, 0.437, 0.1735, 0.28, -1
M, 0.635, 0.515, 0.16, 1.2075, 0.5385, 0.282, 0.345, -1
M, 0.645, 0.495, 0.19, 1.539, 0.6115, 0.408, 0.445, -1
M, 0.65, 0.52, 0.195, 1.676, 0.693, 0.44, 0.47, -1
F, 0.655, 0.5, 0.205, 1.528, 0.6215, 0.3725, 0.4535, -1
F, 0.665, 0.51, 0.175, 1.3805, 0.675, 0.2985, 0.325, -1
M, 0.715, 0.55, 0.175, 1.825, 0.938, 0.3805, 0.44, -1
M, 0.72, 0.58, 0.19, 2.0885, 0.9955, 0.478, 0.5305, -1
M, 0.735, 0.59, 0.205, 2.087, 0.909, 0.474, 0.625, -1
I, 0.43, 0.345, 0.115, 0.4295, 0.212, 0.108, 0.109, -1
I, 0.5, 0.37, 0.115, 0.5745, 0.306, 0.112, 0.141, -1
F, 0.51, 0.37, 0.21, 1.183, 0.508, 0.292, 0.343, -1
F, 0.525, 0.41, 0.135, 0.7905, 0.4065, 0.198, 0.177, -1
M, 0.555, 0.425, 0.15, 0.873, 0.4625, 0.1845, 0.1965, -1
F, 0.625, 0.49, 0.11, 1.136, 0.5265, 0.1915, 0.2925, -1
M, 0.7, 0.545, 0.185, 1.6135, 0.75, 0.4035, 0.3685, -1
I, 0.435, 0.325, 0.105, 0.335, 0.136, 0.065, 0.115, -1
I, 0.45, 0.34, 0.125, 0.4045, 0.171, 0.07, 0.1345, -1
I, 0.455, 0.355, 0.105, 0.372, 0.138, 0.0765, 0.135, -1
I, 0.46, 0.37, 0.11, 0.3965, 0.1485, 0.0855, 0.1455, -1
I, 0.475, 0.375, 0.11, 0.456, 0.182, 0.099, 0.16, -1
I, 0.495, 0.33, 0.1, 0.44, 0.177, 0.095, 0.15, -1
I, 0.52, 0.395, 0.115, 0.6445, 0.3155, 0.1245, 0.186, -1
F, 0.57, 0.47, 0.14, 0.871, 0.385, 0.211, 0.2315, -1
I, 0.575, 0.43, 0.13, 0.7425, 0.2895, 0.2005, 0.22, -1
M, 0.585, 0.45, 0.175, 1.1275, 0.4925, 0.262, 0.335, -1
F, 0.61, 0.495, 0.16, 1.089, 0.469, 0.198, 0.384, -1
M, 0.615, 0.485, 0.215, 0.9615, 0.422, 0.176, 0.29, -1
M, 0.63, 0.515, 0.175, 1.1955, 0.492, 0.247, 0.37, -1
M, 0.63, 0.495, 0.18, 1.31, 0.495, 0.295, 0.4695, -1
F, 0.635, 0.49, 0.155, 1.145, 0.4775, 0.3035, 0.3155, -1
M, 0.655, 0.54, 0.165, 1.403, 0.6955, 0.2385, 0.42, -1
F, 0.655, 0.455, 0.17, 1.2895, 0.587, 0.3165, 0.3415, -1
F, 0.68, 0.52, 0.185, 1.494, 0.615, 0.3935, 0.406, -1
I, 0.255, 0.185, 0.06, 0.0925, 0.039, 0.021, 0.025, -1
I, 0.355, 0.27, 0.075, 0.204, 0.3045, 0.046, 0.0595, -1
M, 0.525, 0.4, 0.13, 0.622, 0.2655, 0.147, 0.184, -1
M, 0.575, 0.48, 0.15, 0.9465, 0.4355, 0.2605, 0.2505, -1
M, 0.58, 0.43, 0.125, 0.9115, 0.446, 0.2075, 0.121, -1
M, 0.6, 0.465, 0.18, 1.193, 0.5145, 0.315, 0.3055, -1
I, 0.29, 0.215, 0.06, 0.1115, 0.053, 0.0185, 0.032, -1
I, 0.37, 0.275, 0.1, 0.2815, 0.1505, 0.0505, 0.068, -1
I, 0.395, 0.3, 0.12, 0.2995, 0.1265, 0.068, 0.0895, -1
I, 0.44, 0.34, 0.1, 0.379, 0.1725, 0.0815, 0.101, -1
F, 0.43, 0.35, 0.09, 0.397, 0.1575, 0.089, 0.12, -1
F, 0.64, 0.54, 0.175, 1.571, 0.627, 0.271, 0.475, -1
I, 0.51, 0.405, 0.12, 0.61, 0.229, 0.131, 0.235, -1
F, 0.67, 0.545, 0.175, 1.707, 0.6995, 0.387, 0.575, -1
F, 0.59, 0.415, 0.15, 0.8805, 0.3645, 0.234, 0.235, -1
F, 0.47, 0.36, 0.11, 0.4965, 0.237, 0.127, 0.13, -1
F, 0.51, 0.385, 0.135, 0.632, 0.282, 0.145, 0.17, -1
M, 0.72, 0.575, 0.23, 2.2695, 0.8835, 0.3985, 0.665, -1
M, 0.55, 0.405, 0.15, 0.9235, 0.412, 0.2135, 0.24, -1
M, 0.65, 0.515, 0.18, 1.3315, 0.5665, 0.347, 0.405, -1
F, 0.49, 0.38, 0.155, 0.578, 0.2395, 0.1255, 0.18, -1
F, 0.385, 0.3, 0.1, 0.2725, 0.1115, 0.057, 0.08, -1
M, 0.335, 0.265, 0.095, 0.1975, 0.0795, 0.0375, 0.07, -1
I, 0.48, 0.38, 0.125, 0.523, 0.2105, 0.1045, 0.175, -1
M, 0.63, 0.51, 0.19, 1.4985, 0.4125, 0.3075, 0.545, -1
M, 0.385, 0.305, 0.09, 0.2775, 0.109, 0.0515, 0.1, -1
M, 0.52, 0.415, 0.175, 0.753, 0.258, 0.171, 0.255, -1
F, 0.42, 0.32, 0.13, 0.4135, 0.1645, 0.106, 0.119, -1
I, 0.42, 0.325, 0.125, 0.3915, 0.1575, 0.1025, 0.115, -1
M, 0.555, 0.435, 0.135, 0.858, 0.377, 0.1585, 0.29, -1
I, 0.455, 0.375, 0.125, 0.533, 0.233, 0.106, 0.185, -1
M, 0.48, 0.38, 0.13, 0.6175, 0.3, 0.142, 0.175, -1
M, 0.64, 0.505, 0.165, 1.4435, 0.6145, 0.3035, 0.39, -1
M, 0.48, 0.38, 0.135, 0.528, 0.2, 0.1395, 0.16, -1
F, 0.655, 0.53, 0.19, 1.428, 0.493, 0.318, 0.565, -1
M, 0.69, 0.54, 0.185, 1.6195, 0.533, 0.353, 0.555, -1
M, 0.645, 0.5, 0.19, 1.229, 0.524, 0.278, 0.395, -1
F, 0.71, 0.575, 0.175, 1.555, 0.6465, 0.3705, 0.52, -1
F, 0.565, 0.45, 0.185, 0.9285, 0.302, 0.1805, 0.265, -1
I, 0.45, 0.355, 0.115, 0.4385, 0.184, 0.108, 0.1125, -1
